[datetime.date(2012, 9, 23), '4', '6', '34', '34', '6', '3', '7', '32', '51']
[datetime.date(2012, 9, 22), '5', '5', '43', '43', '9', '1', '11', '22', '97']
[datetime.date(2012, 9, 21), '2', '1', '38', '38', '14', '1', '10', '27', '165']
[datetime.date(2012, 9, 20), '6', '3', '42', '42', '4', None, '6', '20', '137']
[datetime.date(2012, 9, 19), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 9, 18), '5', '1', '37', '37', '12', '1', '14', '28', '119']
[datetime.date(2012, 9, 17), '7', '4', '55', '55', '12', '2', '12', '80', '145']
[datetime.date(2012, 9, 16), '4', '4', '32', '32', '7', '1', '9', '40', '58']
[datetime.date(2012, 9, 15), '7', '8', '29', '29', '12', '1', '17', '27', '79']
[datetime.date(2012, 9, 14), '4', '2', '44', '44', '9', '1', '10', '27', '147']
[datetime.date(2012, 9, 13), '6', '2', '40', '40', '18', None, '22', '19', '269']
[datetime.date(2012, 9, 12), None, '2', '44', '44', '13', None, '14', '25', '133']
[datetime.date(2012, 9, 11), '10', '9', '58', '58', '19', '2', '21', '30', '162']
[datetime.date(2012, 9, 10), '10', '9', '58', '58', '19', '2', '21', '30', None]
[datetime.date(2012, 9, 9), '4', '6', '30', '30', '9', '2', '14', '40', '67']
[datetime.date(2012, 9, 8), '8', '4', '33', '33', '12', '1', '12', '37', '106']
[datetime.date(2012, 9, 7), '4', '2', '43', '43', '8', None, '9', '26', '146']
[datetime.date(2012, 9, 6), '1', '2', '34', '34', '13', None, '15', '22', '100']
[datetime.date(2012, 9, 5), '4', '5', '53', '53', '14', None, '17', '30', '131']
[datetime.date(2012, 9, 4), '3', '1', '42', '42', '9', None, '11', '23', '100']
[datetime.date(2012, 9, 3), '1', '5', '40', '40', '10', '3', '8', '31', '107']
[datetime.date(2012, 9, 2), '6', '6', '32', '32', '3', None, '3', '40', '55']
[datetime.date(2012, 9, 1), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 8, 31), '2', '2', '44', '44', '7', None, '7', '29', '134']
[datetime.date(2012, 8, 30), '6', '2', '45', '45', '13', '1', '14', '30', '132']
[datetime.date(2012, 8, 29), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 8, 28), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 8, 27), '4', '8', '28', '28', '9', None, '17', '38', '70']
[datetime.date(2012, 8, 26), '4', '8', '28', '28', '9', None, '17', '38', '70']
