,,,,,,,
,,,,,,,
Rok zdarzenia:<Wszystkie>,2011r.,,,,,,
,,,,,,,
,,,Liczba Zdarzen,Liczba Wypadkow,Liczba Zabitych,Liczba Rannych,Liczba Kolizji
,,2011/02/17,132,5,2,5,127
,,2011/02/18,133,2,0,2,131
,,2011/02/19,66,1,0,2,65
,,2011/02/20,43,3,0,5,40
,,2011/02/21,79,5,0,7,74
,,2011/02/22,74,1,0,1,73
,,2011/02/23,82,2,0,4,80
,,2011/02/24,86,2,1,1,84
,,2011/02/25,93,4,0,4,89
,,2011/02/26,62,4,2,3,58
,,2011/02/27,36,1,1,0,35
,,2011/02/28,95,4,0,4,91
,,2011/03/01,87,6,2,4,81
,,2011/03/02,89,2,0,2,87
,,2011/03/03,91,7,1,8,84
,,2011/03/04,101,4,0,8,97
,,2011/03/05,74,4,0,4,70
,,2011/03/06,37,2,0,3,35
,,2011/03/07,89,2,0,2,87
,,2011/03/08,63,5,4,3,58
,,2011/03/09,64,2,0,3,62
,,2011/03/10,103,4,0,5,99
,,2011/03/11,99,3,0,3,96
,,2011/03/12,73,5,1,8,68
,,2011/03/13,48,3,3,1,45
,,2011/03/14,83,0,0,0,83
,,2011/03/15,92,4,2,3,88
,,2011/03/16,66,3,0,4,63
,,2011/03/17,80,3,0,4,77
,,2011/03/18,103,3,0,4,100
,,2011/03/19,52,2,0,2,50
,,2011/03/20,42,0,0,0,42
,,2011/03/21,77,2,1,3,75
,,2011/03/22,71,2,0,2,69
,,2011/03/23,70,2,1,1,68
,,2011/03/24,56,3,1,2,53
,,2011/03/25,74,0,0,0,74
,,2011/03/26,48,0,0,0,48
,,2011/03/27,32,0,0,0,32
,,2011/03/28,70,0,0,0,70
,,2011/03/29,62,1,0,1,61
,,2011/03/30,68,0,0,0,68
,,2011/03/31,81,9,2,8,72
,,2011/04/01,91,1,0,1,90
,,2011/04/02,60,2,0,4,58
,,2011/04/03,57,3,1,3,54
,,2011/04/04,98,1,0,1,97
,,2011/04/05,83,4,1,3,79
,,2011/04/06,55,3,1,2,52
,,2011/04/07,82,2,0,2,80
,,2011/04/08,72,5,3,4,67
,,2011/04/09,58,1,0,1,57
,,2011/04/10,41,1,1,2,40
,,2011/04/11,99,3,0,3,96
,,2011/04/12,90,2,1,3,88
,,2011/04/13,69,3,1,2,66
,,2011/04/14,77,2,0,2,75
,,2011/04/15,91,5,0,5,86
,,2011/04/16,59,7,1,7,52
,,2011/04/17,49,3,1,3,46
,,2011/04/18,92,2,0,2,90
,,2011/04/19,71,4,1,4,67
,,2011/04/20,92,5,2,3,87
,,2011/04/21,93,4,0,4,89
,,2011/04/22,96,4,0,5,92
,,2011/04/23,65,5,1,10,60
,,2011/04/24,27,0,0,0,27
,,2011/04/25,34,2,0,5,32
,,2011/04/26,82,0,0,0,82
,,2011/04/27,74,2,1,2,72
,,2011/04/28,71,3,0,3,68
,,2011/04/29,96,2,0,2,94
,,2011/04/30,84,1,0,3,83
,,2011/05/01,27,0,0,0,27
,,2011/05/02,44,4,0,8,40
,,2011/05/03,34,3,0,3,31
,,2011/05/04,69,3,0,3,66
,,2011/05/05,78,0,0,0,78
,,2011/05/06,77,4,1,3,73
,,2011/05/07,64,4,0,5,60
,,2011/05/08,40,5,2,3,35
,,2011/05/09,97,8,0,8,89
,,2011/05/10,80,7,0,7,73
,,2011/05/11,99,6,1,7,93
,,2011/05/12,71,1,1,0,70
,,2011/05/13,105,5,1,4,100
,,2011/05/14,59,5,0,5,54
,,2011/05/15,52,4,1,10,48
,,2011/05/16,69,2,0,2,67
,,2011/05/17,76,1,0,2,75
,,2011/05/18,66,3,1,4,63
,,2011/05/19,90,2,0,2,88
,,2011/05/20,96,4,0,4,92
,,2011/05/21,71,5,1,4,66
,,2011/05/22,57,6,1,13,51
,,2011/05/23,75,5,2,6,70
,,2011/05/24,91,6,0,6,85
,,2011/05/25,81,7,1,6,74
,,2011/05/26,99,5,0,7,94
,,2011/05/27,92,6,1,5,86
