,,,,,,,
,,,,,,,
Rok zdarzenia:<Wszystkie>,2013r.,,,,,,
,,,,,,,
,,,Liczba Zdarzen,Liczba Wypadkow,Liczba Zabitych,Liczba Rannych,Liczba Kolizji
,,2013/01/06,24,0,0,0,24
,,2013/01/07,39,3,1,2,36
,,2013/01/08,24,1,0,1,23
,,2013/01/09,33,4,0,5,29
,,2013/01/10,68,5,2,4,63
,,2013/01/11,62,6,1,7,56
,,2013/01/12,36,1,1,0,35
,,2013/01/13,33,3,0,6,30
,,2013/01/14,42,5,0,6,37
,,2013/01/15,77,6,1,6,71
,,2013/01/16,64,2,0,2,62
,,2013/01/17,42,7,0,11,35
,,2013/01/18,54,5,0,6,49
,,2013/01/19,38,0,0,0,38
,,2013/01/20,17,2,1,1,15
,,2013/01/21,49,1,0,1,48
,,2013/01/22,53,7,1,11,46
,,2013/01/23,62,4,0,4,58
,,2013/01/24,46,3,1,2,43
,,2013/01/25,51,3,0,3,48
,,2013/01/26,33,1,0,3,32
,,2013/01/27,19,1,0,2,18
,,2013/01/28,50,4,0,5,46
,,2013/01/29,66,4,1,5,62
,,2013/01/30,45,2,0,2,43
,,2013/01/31,63,3,0,5,60
,,2013/02/01,52,4,0,4,48
,,2013/02/02,38,5,2,5,33
,,2013/02/03,29,3,1,2,26
,,2013/02/04,45,5,0,6,40
,,2013/02/05,60,6,0,6,54
,,2013/02/06,61,3,0,3,58
,,2013/02/07,93,4,1,4,89
,,2013/02/08,51,4,0,5,47
,,2013/02/09,34,2,0,5,32
,,2013/02/10,23,1,0,3,22
,,2013/02/11,37,2,0,2,35
,,2013/02/12,46,3,0,3,43
,,2013/02/13,34,3,0,5,31
,,2013/02/14,42,4,1,6,38
,,2013/02/15,33,4,0,5,29
,,2013/02/16,34,2,1,4,32
,,2013/02/17,16,2,0,3,14
,,2013/02/18,31,5,0,7,26
,,2013/02/19,47,3,0,4,44
,,2013/02/20,67,2,0,2,65
,,2013/02/21,36,4,0,4,32
,,2013/02/22,61,2,0,2,59
,,2013/02/23,33,6,0,7,27
,,2013/02/24,14,3,0,3,11
,,2013/02/25,36,4,1,4,32
,,2013/02/26,32,2,1,2,30
,,2013/02/27,47,5,0,6,42
,,2013/02/28,37,2,0,6,35
,WOJ. PODLASKIE,,1936,63,13,80,1873
,,2013/01/01,25,3,0,5,22
,,2013/01/02,24,5,4,3,19
,,2013/01/03,25,0,0,0,25
,,2013/01/04,33,0,0,0,33
,,2013/01/05,16,0,0,0,16
,,2013/01/06,10,1,0,2,9
,,2013/01/07,23,0,0,0,23
,,2013/01/08,24,1,0,1,23
,,2013/01/09,18,1,0,1,17
,,2013/01/10,57,6,2,7,51
,,2013/01/11,45,0,0,0,45
,,2013/01/12,27,1,0,2,26
,,2013/01/13,26,3,0,6,23
,,2013/01/14,45,3,0,3,42
,,2013/01/15,42,0,0,0,42
,,2013/01/16,41,1,0,1,40
,,2013/01/17,49,0,0,0,49
,,2013/01/18,50,3,0,3,47
,,2013/01/19,27,0,0,0,27
,,2013/01/20,26,0,0,0,26
,,2013/01/21,34,0,0,0,34
,,2013/01/22,30,2,0,2,28
,,2013/01/23,32,0,0,0,32
,,2013/01/24,30,1,0,1,29
,,2013/01/25,41,0,0,0,41
,,2013/01/26,29,2,0,3,27
,,2013/01/27,21,1,1,1,20
,,2013/01/28,31,0,0,0,31
,,2013/01/29,35,1,0,1,34
,,2013/01/30,45,1,0,1,44
,,2013/01/31,39,2,1,2,37
,,2013/02/01,35,1,0,1,34
,,2013/02/02,42,3,0,6,39
,,2013/02/03,24,1,1,3,23
,,2013/02/04,31,2,1,3,29
,,2013/02/05,25,0,0,0,25
,,2013/02/06,39,0,0,0,39
,,2013/02/07,65,2,0,4,63
,,2013/02/08,50,0,0,0,50
,,2013/02/09,25,1,0,1,24
,,2013/02/10,13,0,0,0,13
,,2013/02/11,64,2,0,2,62
,,2013/02/12,31,2,1,1,29
,,2013/02/13,28,0,0,0,28
,,2013/02/14,28,0,0,0,28
,,2013/02/15,21,0,0,0,21
,,2013/02/16,25,0,0,0,25
,,2013/02/17,6,0,0,0,6
,,2013/02/18,32,3,0,5,29
,,2013/02/19,72,2,0,5,70
,,2013/02/20,56,0,0,0,56
,,2013/02/21,20,0,0,0,20
,,2013/02/22,28,1,0,1,27
,,2013/02/23,26,0,0,0,26
,,2013/02/24,18,1,0,1,17
,,2013/02/25,34,0,0,0,34
,,2013/02/26,29,0,0,0,29
,,2013/02/27,36,1,1,0,35
,,2013/02/28,33,3,1,2,30
,WOJ. POMORSKIE,,3036,268,26,340,2768
,,2013/01/01,32,6,0,11,26
